,SP-Subregião,MAPE Infectados,MAPE  Recuperados,Result
0,Luxembourg,4.487749037119522,1.899091191975088,Passed
1,Luxembourg,4.324935251917591,1.375922687637437,Passed
2,Luxembourg,4.3888544418304924,1.5196939375125913,Passed
3,Luxembourg,4.55463984076142,1.6573588005622235,Passed
4,Luxembourg,4.5168078439600965,1.5097086632016488,Passed
5,Luxembourg,4.776150565408238,1.4248923821231705,Passed
6,Luxembourg,4.903078164467376,0.4332287008256208,Passed
7,Luxembourg,3.3045262264480484,0.2304748524100348,Passed
8,Luxembourg,2.337530029941359,0.16413681346365966,Passed
9,Luxembourg,1.178541696622339,0.1057541042682263,Passed
10,Luxembourg,0.7240762401730988,0.1901841969311744,Passed
11,Luxembourg,0.6550232676077963,0.3450589225303316,Passed
12,Luxembourg,0.6520086124937321,0.2972839288407121,Passed
13,Luxembourg,0.4820387923020962,0.15540951761758706,Passed
14,Luxembourg,0.3324636884207482,0.007215327889284482,Passed
15,Luxembourg,0.3502520062836218,0.0042429430397755655,Passed
16,Luxembourg,0.33327431311231825,0.04469954957866529,Passed
17,Luxembourg,0.2793908294837047,0.17821783253055293,Passed
18,Luxembourg,1.1674462698983428,0.023984203559926868,Passed
19,Luxembourg,0.2479967035733349,0.1628447495237233,Passed
20,Luxembourg,0.698641367421493,0.007649629875404834,Passed
21,Luxembourg,0.3264709477722417,0.0017186398842661287,Passed
22,Luxembourg,0.2159488271687853,0.00013214466619361574,Passed
23,Luxembourg,0.19633049889654855,3.342494693615582e-05,Passed
24,Luxembourg,0.21360530020848675,0.00047982744548827577,Passed
25,Luxembourg,0.1917403153582003,0.0003871493453447783,Passed
26,Luxembourg,0.2345369160421236,0.00032901034113755887,Passed
27,Luxembourg,0.12371187527169432,6.217204903158241e-05,Passed
28,Luxembourg,0.11191096802581353,0.0016231057383670885,Passed
29,Luxembourg,0.00010308821716519564,0.00048271932116359094,Passed
30,Luxembourg,0.0,1.2247437406045357e-14,Passed
