,SP-Subregião,MAPE Infectados,MAPE  Recuperados,Result
0,WestVlaanderen,3.4381717112128327,0.3271574863627021,Passed
1,WestVlaanderen,3.1066821668479685,0.5839298520548961,Passed
2,WestVlaanderen,3.285889567360518,0.27808243576529,Passed
3,WestVlaanderen,3.215642950281855,0.2574881569685741,Passed
4,WestVlaanderen,3.147641919384551,0.2265685962325367,Passed
5,WestVlaanderen,3.235396875163917,0.2797178236310837,Passed
6,WestVlaanderen,3.229338462931515,0.3061028050296755,Passed
7,WestVlaanderen,3.1981059643069787,0.3098889006039096,Passed
8,WestVlaanderen,3.1130246970406223,0.3371429977476144,Passed
9,WestVlaanderen,3.21575277522642,1.5982411025421277,Passed
10,WestVlaanderen,3.3084491371162463,0.10535547341792173,Passed
11,WestVlaanderen,2.4307108177797945,0.4169863478440583,Passed
12,WestVlaanderen,2.4316228696577897,0.4189788626944904,Passed
13,WestVlaanderen,2.253814234647941,0.4994776791542588,Passed
14,WestVlaanderen,2.8670655502470312,0.16191664885536708,Passed
15,WestVlaanderen,2.8520518005120348,0.10730711179065547,Passed
16,WestVlaanderen,2.626680426554172,0.0722072351965516,Passed
17,WestVlaanderen,2.84303287680667,0.09191528936333417,Passed
18,WestVlaanderen,2.726393237823405,0.2219003506745761,Passed
19,WestVlaanderen,2.9489400695150483,0.14832282137706587,Passed
20,WestVlaanderen,2.67900739726988,0.1193673202176723,Passed
21,WestVlaanderen,2.4555201453213527,0.10011960581069572,Passed
22,WestVlaanderen,2.8312112198338624,0.5686154892262405,Passed
23,WestVlaanderen,3.15947337593388,0.3383457068576014,Passed
24,WestVlaanderen,2.6895199323080408,0.043385666029020366,Passed
25,WestVlaanderen,3.3624822638346834,0.15772659929740135,Passed
26,WestVlaanderen,2.5773848993478987,0.112448007626671,Passed
27,WestVlaanderen,2.6370700634981774,0.07161311236641067,Passed
28,WestVlaanderen,2.2406297524710803,0.03100327777526568,Passed
29,WestVlaanderen,0.004125192829375534,0.03784945403191407,Passed
30,WestVlaanderen,0.0,0.0,Passed
