,SP-Subregião,MAPE Infectados,MAPE  Recuperados,Result
0,Belgium,2.139440270540706,2.7426952366602,Passed
1,Belgium,2.158883439862004,2.745660621434024,Passed
2,Belgium,2.2763757189643457,2.5998974293189465,Passed
3,Belgium,2.305374130006655,2.6735676530239902,Passed
4,Belgium,2.3994557476897804,2.6821420915296748,Passed
5,Belgium,2.4815422537019423,2.7082660882599665,Passed
6,Belgium,2.532065851984585,2.721621029588766,Passed
7,Belgium,2.6254732312408158,2.715925248723676,Passed
8,Belgium,2.7192543372824054,2.7759403288906728,Passed
9,Belgium,2.929428699166005,2.666280167846383,Passed
10,Belgium,3.288951215359468,2.5753296251723032,Passed
11,Belgium,2.2902128126153434,2.7979176837430364,Passed
12,Belgium,2.3363597743840647,2.7902500780271944,Passed
13,Belgium,2.2104294747255966,2.8356952323441167,Passed
14,Belgium,1.914348974676631,2.957752418093285,Passed
15,Belgium,1.5606855755189175,3.0025070641892886,Passed
16,Belgium,1.5399406402171512,2.9279235395036425,Passed
17,Belgium,1.6516644214128284,2.8097790910559426,Passed
18,Belgium,1.4457046050883557,2.7767959786942527,Passed
19,Belgium,1.141081059725964,2.688464232015245,Passed
20,Belgium,0.9877895772047944,2.6221184183339097,Passed
21,Belgium,2.717086392900712,2.4957029709003336,Passed
22,Belgium,0.8150731581488811,2.4613880146576737,Passed
23,Belgium,1.4370071939243108,2.4052359481073022,Passed
24,Belgium,0.7305990980748414,2.4493560159525787,Passed
25,Belgium,0.7718552925632701,2.3114128159817366,Passed
26,Belgium,0.7506423897347436,2.3607970065706443,Passed
27,Belgium,0.30125312943846866,2.4153980751591413,Passed
28,Belgium,0.3111982280102714,2.432396897433679,Passed
29,Belgium,0.01962542493475325,2.467417328532137,Passed
30,Belgium,0.0,2.4481065425959607,Passed
