,SP-Subregião,MAPE Infectados,MAPE  Recuperados,Result
0,OostVlaanderen,3.1620623615399404,0.16759547163785055,Passed
1,OostVlaanderen,3.206441026595701,0.2322184842690411,Passed
2,OostVlaanderen,3.413979302029888,0.15198888258278506,Passed
3,OostVlaanderen,3.5599997516247037,0.17898021609761522,Passed
4,OostVlaanderen,3.2857539377317115,0.20368492978259245,Passed
5,OostVlaanderen,3.2798780920302923,0.16790394013666093,Passed
6,OostVlaanderen,3.114546730276009,0.2573520201723498,Passed
7,OostVlaanderen,2.8226095686690904,0.3138847014181132,Passed
8,OostVlaanderen,2.6777923127573167,0.2903098930090897,Passed
9,OostVlaanderen,2.7556809846443127,0.4178256581543403,Passed
10,OostVlaanderen,2.912404943312052,0.2129432648674867,Passed
11,OostVlaanderen,2.512520903583213,1.1892005124664875,Passed
12,OostVlaanderen,2.6279858117736747,0.4522355313422434,Passed
13,OostVlaanderen,2.5881525943528905,0.5123647687094061,Passed
14,OostVlaanderen,2.288957715738791,0.15957567367001138,Passed
15,OostVlaanderen,2.40781176696314,0.2257638760302973,Passed
16,OostVlaanderen,2.442796183088746,0.20820180230190266,Passed
17,OostVlaanderen,3.0045739508949243,0.10005911383283267,Passed
18,OostVlaanderen,2.400977342843345,0.10205242359813887,Passed
19,OostVlaanderen,2.0156686411002025,0.12187276410387468,Passed
20,OostVlaanderen,1.74855143117313,1.2902008097890214,Passed
21,OostVlaanderen,1.6597271830621854,0.11588343381917293,Passed
22,OostVlaanderen,3.872366061271997,0.14598038622571965,Passed
23,OostVlaanderen,3.222856405354392,0.16403397992298815,Passed
24,OostVlaanderen,2.442460138017495,0.2010197605485602,Passed
25,OostVlaanderen,0.9582798041438162,0.1895563887547268,Passed
26,OostVlaanderen,0.839031511441908,0.13038301800132365,Passed
27,OostVlaanderen,0.5524374518790495,0.09664146868635767,Passed
28,OostVlaanderen,0.2840688546213609,0.0558734808472557,Passed
29,OostVlaanderen,0.04072365109029987,0.00436479656135199,Passed
30,OostVlaanderen,0.0,4.776797087806608e-14,Passed
