,SP-Subregião,MAPE Infectados,MAPE  Recuperados,Result
0,Antwerpen,2.174281035022579,0.14168263840183712,Passed
1,Antwerpen,2.341421230186985,0.12664519034858165,Passed
2,Antwerpen,2.2925559722077806,0.15359483631026674,Passed
3,Antwerpen,2.3483262041748523,0.1804651735069534,Passed
4,Antwerpen,2.424096679261698,0.13436004885666206,Passed
5,Antwerpen,2.4827130098730956,0.12611007871481825,Passed
6,Antwerpen,2.7271874318071903,0.26432566233273663,Passed
7,Antwerpen,2.5514059225343746,0.12392606663664933,Passed
8,Antwerpen,2.6487427217534982,0.1333047403171418,Passed
9,Antwerpen,2.679123232241125,0.10563345851373596,Passed
10,Antwerpen,2.8532022845280136,0.09487283369329262,Passed
11,Antwerpen,2.511186159795454,0.12984134445865747,Passed
12,Antwerpen,2.6418484214136506,0.10643163260541884,Passed
13,Antwerpen,2.878239660723337,0.16072323984099288,Passed
14,Antwerpen,2.3359081693947035,0.13572533552964447,Passed
15,Antwerpen,2.2950180647325005,0.21907974923142853,Passed
16,Antwerpen,2.3217665848169533,0.07949664716931727,Passed
17,Antwerpen,2.740090023614421,0.10367270847257153,Passed
18,Antwerpen,2.4624943641464285,0.09030498677339906,Passed
19,Antwerpen,2.372320186744388,0.09860682409290322,Passed
20,Antwerpen,1.4215841106645015,0.2540896327465456,Passed
21,Antwerpen,2.8817451213643634,0.1898054751255246,Passed
22,Antwerpen,1.153471892260561,0.16831798885498886,Passed
23,Antwerpen,0.7327984561267671,0.08776740846248253,Passed
24,Antwerpen,0.2965001781840325,0.1392407200316366,Passed
25,Antwerpen,0.3419505647090655,0.0137630607856029,Passed
26,Antwerpen,0.20489146258920726,0.017937998728572196,Passed
27,Antwerpen,0.2866345719172072,0.11435203003641985,Passed
28,Antwerpen,0.12817761860810545,0.06740960533401423,Passed
29,Antwerpen,0.041771712008377634,0.00943476810176566,Passed
30,Antwerpen,0.0,4.2268596034730775e-14,Passed
